Date,Product,Region,Amount
21/02/2020,Tomatoes,North, 84.32 
26/02/2020,Chicken,East, 106.94 
22/02/2020,Broccoli,Central, 399.98 
16/02/2020,Cucumber,Central, 258.47 
02/02/2020,Pizza,East, 245.08 
07/02/2020,Beef,East, 285.72 
16/02/2020,Orange Juice,Central, 73.33 
16/02/2020,Cucumber,North, 186.55 
19/02/2020,Beef,East, 72.23 
20/02/2020,Sandwiches,East, 227.12 
21/02/2020,Pizza,South West, 298.33 
11/02/2020,Pizza,North, 363.94 
09/02/2020,Green Tea,North, 209.76 
03/02/2020,Orange Juice,North, 200.39 
04/02/2020,Beef,South, 140.97 
18/02/2020,Cucumber,South, 387.55 
12/02/2020,Beef,South, 66.06 
12/02/2020,Chicken,South, 378.83 
12/02/2020,Broccoli,South, 265.46 
22/02/2020,Green Tea,South, 172.46 
07/02/2020,Beef,North, 224.77 
05/02/2020,Orange Juice,North, 271.34 
25/02/2020,Green Tea,South, 327.69 
06/02/2020,Chicken,East, 128.64 
02/02/2020,Chicken,South, 360.36 
17/02/2020,Beef,South West, 114.26 
13/02/2020,Pizza,South, 159.12 
10/02/2020,Pizza,East, 123.90 
25/02/2020,Chicken,East, 32.03 
22/02/2020,Chicken,North, 322.56 
14/02/2020,Beef,East, 255.72 
26/02/2020,Beef,East, 216.53 
07/02/2020,Green Tea,Central, 346.60 
04/02/2020,Orange Juice,South West, 347.15 
28/02/2020,Sandwiches,East, 179.17 
04/02/2020,Beef,North, 124.23 
02/02/2020,Beef,East, 158.42 
13/02/2020,Sandwiches,East, 21.80 
16/02/2020,Green Tea,South West, 133.65 
03/02/2020,Sandwiches,South West, 179.82 
15/02/2020,Sandwiches,South, 119.17 
08/02/2020,Pizza,North, 193.11 
03/02/2020,Green Tea,East, 334.65 
25/02/2020,Tomatoes,Central, 384.98 
06/02/2020,Green Tea,Central, 168.92 
04/02/2020,Tomatoes,South, 342.97 
09/02/2020,Broccoli,North, 211.00 
12/02/2020,Orange Juice,East, 345.18 
17/02/2020,Beef,Central, 359.72 
26/02/2020,Broccoli,Central, 17.04 
12/02/2020,Sandwiches,North, 127.22 
23/02/2020,Tomatoes,South, 164.51 
12/02/2020,Orange Juice,North, 106.02 
24/02/2020,Green Tea,Central, 304.39 
12/02/2020,Sandwiches,South, 51.67 
07/02/2020,Chicken,Central, 282.10 
28/02/2020,Tomatoes,South West, 216.49 
08/02/2020,Pizza,East, 31.39 
09/02/2020,Orange Juice,Central, 82.16 
12/02/2020,Tomatoes,South West, 261.22 
06/02/2020,Beef,South, 219.00 
25/02/2020,Orange Juice,East, 51.57 
24/02/2020,Beef,East, 233.15 
27/02/2020,Chicken,South, 11.14 
10/02/2020,Sandwiches,South, 58.34 
02/02/2020,Orange Juice,South West, 321.14 
21/02/2020,Sandwiches,South, 110.27 
21/02/2020,Beef,South West, 130.20 
24/02/2020,Pizza,South West, 213.78 
16/02/2020,Beef,South West, 219.74 
18/02/2020,Orange Juice,Central, 290.62 
01/02/2020,Sandwiches,South West, 297.87 
19/02/2020,Green Tea,East, 166.71 
15/02/2020,Orange Juice,North, 233.09 
17/02/2020,Sandwiches,East, 214.50 
01/02/2020,Pizza,Central, 135.22 
17/02/2020,Green Tea,Central, 32.12 
28/02/2020,Broccoli,North, 283.73 
19/02/2020,Green Tea,North, 118.96 
02/02/2020,Sandwiches,South, 56.32 
21/02/2020,Pizza,Central, 19.44 
08/02/2020,Tomatoes,Central, 315.90 
07/02/2020,Beef,North, 254.32 
10/02/2020,Broccoli,Central, 245.49 
15/02/2020,Broccoli,Central, 98.02 
18/02/2020,Beef,East, 47.18 
05/02/2020,Broccoli,East, 233.91 
27/02/2020,Cucumber,Central, 98.07 
07/02/2020,Broccoli,North, 133.92 
18/02/2020,Tomatoes,South West, 94.10 
20/02/2020,Orange Juice,South, 244.48 
06/02/2020,Sandwiches,North, 36.58 
24/02/2020,Chicken,East, 260.66 
05/02/2020,Sandwiches,North, 47.02 
15/02/2020,Beef,South West, 20.04 
28/02/2020,Sandwiches,North, 28.92 
26/02/2020,Chicken,North, 196.20 
10/02/2020,Chicken,East, 159.77 
24/02/2020,Green Tea,South West, 241.13 
18/02/2020,Pizza,Central, 121.90 
11/02/2020,Cucumber,South West, 348.92 
23/02/2020,Orange Juice,East, 277.27 
12/02/2020,Pizza,East, 65.95 
13/02/2020,Cucumber,South West, 23.86 
27/02/2020,Chicken,South, 91.51 
27/02/2020,Orange Juice,Central, 359.64 
23/02/2020,Broccoli,South West, 40.51 
25/02/2020,Cucumber,East, 25.14 
05/02/2020,Chicken,South, 269.87 
21/02/2020,Broccoli,Central, 146.31 
12/02/2020,Tomatoes,South, 141.44 
16/02/2020,Tomatoes,South West, 311.43 
27/02/2020,Pizza,Central, 17.11 
05/02/2020,Beef,North, 248.52 
12/02/2020,Tomatoes,East, 238.23 
15/02/2020,Broccoli,East, 180.96 
07/02/2020,Orange Juice,South, 153.41 
19/02/2020,Tomatoes,North, 327.20 
28/02/2020,Pizza,East, 350.66 
11/02/2020,Orange Juice,North, 228.16 
01/02/2020,Green Tea,South, 32.43 
12/02/2020,Cucumber,South, 39.85 
10/02/2020,Chicken,South West, 130.25 
25/02/2020,Orange Juice,North, 108.58 
02/02/2020,Pizza,South West, 292.46 
07/02/2020,Sandwiches,South West, 211.39 
18/02/2020,Cucumber,Central, 272.36 
21/02/2020,Cucumber,South, 186.12 
26/02/2020,Tomatoes,South, 195.17 
11/02/2020,Cucumber,East, 204.50 
07/02/2020,Tomatoes,South, 397.84 
28/02/2020,Tomatoes,East, 290.65 
25/02/2020,Sandwiches,North, 278.32 
22/02/2020,Beef,Central, 379.17 
22/02/2020,Tomatoes,South West, 79.31 
03/02/2020,Orange Juice,South, 386.21 
23/02/2020,Beef,Central, 348.65 
14/02/2020,Pizza,East, 60.17 
22/02/2020,Sandwiches,East, 307.18 
08/02/2020,Beef,South, 121.15 
15/02/2020,Cucumber,North, 133.18 
10/02/2020,Tomatoes,East, 12.92 
18/02/2020,Tomatoes,North, 133.25 
16/02/2020,Orange Juice,South, 284.75 
24/02/2020,Cucumber,East, 198.61 
07/02/2020,Pizza,South, 251.75 
11/02/2020,Green Tea,South, 195.25 
17/02/2020,Chicken,South West, 170.07 
10/02/2020,Tomatoes,East, 155.33 
02/02/2020,Beef,South, 226.08 
22/02/2020,Cucumber,East, 362.66 
12/02/2020,Sandwiches,East, 216.21 
19/02/2020,Beef,East, 21.40 
27/02/2020,Pizza,South West, 278.84 
02/02/2020,Beef,North, 350.89 
19/02/2020,Beef,North, 344.15 
27/02/2020,Green Tea,South West, 337.46 
04/02/2020,Sandwiches,Central, 30.06 
11/02/2020,Cucumber,South, 104.58 
13/02/2020,Beef,North, 237.64 
03/02/2020,Tomatoes,Central, 270.42 
07/02/2020,Broccoli,East, 249.31 
06/02/2020,Cucumber,South, 295.16 
04/02/2020,Tomatoes,North, 182.94 
20/02/2020,Pizza,Central, 296.68 
10/02/2020,Sandwiches,North, 331.90 
13/02/2020,Tomatoes,South, 123.84 
08/02/2020,Pizza,Central, 188.61 
28/02/2020,Tomatoes,East, 101.75 
01/02/2020,Orange Juice,Central, 27.06 
23/02/2020,Broccoli,South West, 139.86 
15/02/2020,Chicken,East, 323.93 
14/02/2020,Cucumber,North, 81.00 
15/02/2020,Pizza,South West, 158.93 
14/02/2020,Cucumber,East, 179.99 
10/02/2020,Broccoli,East, 294.29 
23/02/2020,Broccoli,South West, 221.56 
24/02/2020,Chicken,East, 185.40 
15/02/2020,Pizza,East, 145.75 
12/02/2020,Orange Juice,North, 211.63 
02/02/2020,Orange Juice,East, 237.02 
23/02/2020,Chicken,South, 137.01 
22/02/2020,Green Tea,Central, 86.06 
24/02/2020,Cucumber,East, 169.95 
14/02/2020,Beef,South, 133.63 
04/02/2020,Beef,East, 346.93 
22/02/2020,Broccoli,Central, 243.42 
03/02/2020,Chicken,East, 383.27 
28/02/2020,Orange Juice,East, 230.33 
11/02/2020,Green Tea,East, 357.96 
23/02/2020,Cucumber,South West, 26.42 
05/02/2020,Sandwiches,Central, 40.52 
14/02/2020,Cucumber,North, 225.14 
06/02/2020,Pizza,East, 297.35 
09/02/2020,Beef,South West, 184.90 
12/02/2020,Chicken,Central, 328.48 
21/02/2020,Green Tea,North, 317.22 
22/02/2020,Chicken,East, 344.80 
17/02/2020,Green Tea,Central, 14.00 
24/02/2020,Orange Juice,North, 164.79 
06/02/2020,Cucumber,South, 206.26 
08/02/2020,Tomatoes,North, 248.55 
19/02/2020,Green Tea,East, 377.25 
19/02/2020,Orange Juice,South, 87.95 
24/02/2020,Cucumber,North, 343.87 
19/02/2020,Broccoli,East,66.87
04/02/2020,Green Tea,East,262.06
19/02/2020,Broccoli,South,56.15
18/02/2020,Chicken,South West,123.37
20/02/2020,Tomatoes,North,288.25
07/02/2020,Broccoli,South West,165.02
14/02/2020,Chicken,East,323.11
21/02/2020,Orange Juice,East,294.89
08/02/2020,Beef,South,192.6
19/02/2020,Cucumber,Central,314.32
18/02/2020,Pizza,South West,253.82
11/02/2020,Chicken,South West,140.43
11/02/2020,Cucumber,Central,70.8
14/02/2020,Green Tea,East,151.08
19/02/2020,Pizza,South West,196.32
13/02/2020,Beef,Central,324.68
28/02/2020,Tomatoes,Central,331.58
03/02/2020,Cucumber,South,348.84
07/02/2020,Pizza,Central,70.99
07/02/2020,Orange Juice,North,257.53
05/02/2020,Orange Juice,South West,386.68
07/02/2020,Cucumber,South,220.03
13/02/2020,Tomatoes,North,127.98
23/02/2020,Orange Juice,East,161.14
15/02/2020,Cucumber,South,292.22
05/02/2020,Beef,South West,276.16
11/02/2020,Broccoli,South,154.03
09/02/2020,Orange Juice,East,44.1
17/02/2020,Pizza,East,74.52
02/02/2020,Beef,South West,350.84
01/02/2020,Chicken,Central,259.4
04/02/2020,Beef,Central,299.14
08/02/2020,Orange Juice,Central,351.14
13/02/2020,Pizza,South West,340.72
23/02/2020,Broccoli,Central,164.1
21/02/2020,Cucumber,North,25.88
13/02/2020,Green Tea,South,266.34
17/02/2020,Sandwiches,North,61.02
22/02/2020,Tomatoes,Central,284.65
05/02/2020,Tomatoes,South West,44.17
23/02/2020,Orange Juice,East,187.62
20/02/2020,Orange Juice,South West,344.96
24/02/2020,Sandwiches,South,373.49
17/02/2020,Beef,South,258.06
03/02/2020,Green Tea,Central,223.92
10/02/2020,Tomatoes,Central,313.22
21/02/2020,Sandwiches,South,159.23
16/02/2020,Cucumber,East,325.3
11/02/2020,Pizza,South,339.79
24/02/2020,Broccoli,South West,284.41
24/02/2020,Green Tea,South West,309.7
03/02/2020,Tomatoes,North,129.8
11/02/2020,Orange Juice,South,234.17
06/02/2020,Sandwiches,Central,273.27
27/02/2020,Beef,South West,233.11
19/02/2020,Cucumber,South,202.38
26/02/2020,Pizza,North,68.93
01/02/2020,Tomatoes,North,362.09
26/02/2020,Sandwiches,Central,163.32
01/02/2020,Cucumber,Central,272.25
15/02/2020,Orange Juice,North,107.18
14/02/2020,Broccoli,Central,28.25
21/02/2020,Beef,Central,391.14
06/02/2020,Broccoli,Central,93.39
14/02/2020,Sandwiches,South,251.88
17/02/2020,Broccoli,South,72.23
26/02/2020,Pizza,Central,125.03
26/02/2020,Pizza,South West,388.97
28/02/2020,Chicken,South West,55.34
09/02/2020,Chicken,South,329.55
14/02/2020,Broccoli,Central,387.39
12/02/2020,Green Tea,Central,54.68
06/02/2020,Orange Juice,Central,81.96
08/02/2020,Tomatoes,Central,277.25
15/02/2020,Chicken,South,27
23/02/2020,Chicken,Central,146.74
17/02/2020,Beef,South West,250.23
14/02/2020,Green Tea,South West,343.06
04/02/2020,Orange Juice,South West,130.33
20/02/2020,Tomatoes,South West,135.9
14/02/2020,Green Tea,South West,115.78
10/02/2020,Orange Juice,South,253.75
01/02/2020,Chicken,North,67.75
05/02/2020,Tomatoes,Central,137.68
27/02/2020,Pizza,South,196.81
24/02/2020,Pizza,East,223.21
26/02/2020,Cucumber,South West,56.08
28/02/2020,Green Tea,North,198.4
04/02/2020,Cucumber,South West,396.12
04/02/2020,Tomatoes,East,56.44
09/02/2020,Chicken,South West,84.48
13/02/2020,Sandwiches,East,109.76
17/02/2020,Pizza,East,71.7
18/02/2020,Pizza,Central,182.67
23/02/2020,Sandwiches,South West,209.98
09/02/2020,Broccoli,North,141.18
