Date,Product,Region,Amount
25/12/2020,Cucumber,South West, 349.66 
15/12/2020,Tomatoes,South West, 172.80 
15/12/2020,Chicken,East, 249.89 
10/12/2020,Chicken,Central, 362.55 
12/12/2020,Beef,East, 215.31 
19/12/2020,Cucumber,Central, 166.25 
05/12/2020,Green Tea,East, 126.20 
13/12/2020,Cucumber,South West, 88.16 
19/12/2020,Orange Juice,South, 221.12 
29/12/2020,Chicken,Central, 328.80 
24/12/2020,Cucumber,Central, 180.83 
14/12/2020,Chicken,South West, 250.70 
29/12/2020,Green Tea,East, 242.39 
25/12/2020,Green Tea,Central, 68.42 
16/12/2020,Broccoli,South West, 64.15 
01/12/2020,Green Tea,North, 159.03 
20/12/2020,Cucumber,Central, 171.84 
17/12/2020,Cucumber,East, 241.43 
16/12/2020,Chicken,East, 318.72 
01/12/2020,Tomatoes,Central, 257.50 
14/12/2020,Green Tea,South West, 140.95 
04/12/2020,Chicken,South, 360.89 
09/12/2020,Broccoli,Central, 215.11 
22/12/2020,Green Tea,Central, 82.17 
05/12/2020,Beef,South, 315.54 
12/12/2020,Tomatoes,South West, 90.41 
10/12/2020,Chicken,South West, 185.86 
23/12/2020,Orange Juice,East, 345.81 
22/12/2020,Beef,East, 280.41 
11/12/2020,Green Tea,South West, 309.32 
21/12/2020,Broccoli,Central, 233.77 
18/12/2020,Chicken,North, 398.87 
15/12/2020,Sandwiches,East, 37.60 
26/12/2020,Beef,East, 27.89 
10/12/2020,Sandwiches,Central, 292.91 
18/12/2020,Pizza,East, 386.62 
10/12/2020,Tomatoes,North, 244.73 
05/12/2020,Sandwiches,Central, 104.87 
21/12/2020,Broccoli,Central, 345.20 
28/12/2020,Cucumber,South West, 32.36 
09/12/2020,Sandwiches,East, 393.83 
29/12/2020,Green Tea,East, 98.41 
01/12/2020,Chicken,East, 392.14 
13/12/2020,Orange Juice,East, 37.94 
10/12/2020,Tomatoes,Central, 91.78 
27/12/2020,Pizza,East, 235.99 
20/12/2020,Sandwiches,North, 67.23 
28/12/2020,Cucumber,East, 266.09 
14/12/2020,Pizza,East, 343.37 
30/12/2020,Tomatoes,South West, 116.36 
04/12/2020,Beef,South West, 365.14 
04/12/2020,Green Tea,South West, 348.80 
18/12/2020,Green Tea,East, 357.36 
07/12/2020,Tomatoes,North, 29.24 
23/12/2020,Green Tea,Central, 81.90 
09/12/2020,Broccoli,East, 195.97 
20/12/2020,Beef,East, 132.59 
14/12/2020,Orange Juice,South, 176.74 
