Date,Product,Region,Amount
01/06/2020,Orange Juice,North, 128.36 
29/06/2020,Pizza,East, 178.43 
13/06/2020,Broccoli,North, 336.28 
28/06/2020,Cucumber,North, 41.87 
25/06/2020,Tomatoes,South West, 224.16 
11/06/2020,Chicken,South, 28.99 
12/06/2020,Green Tea,South, 278.20 
01/06/2020,Orange Juice,South, 291.61 
04/06/2020,Broccoli,North, 284.91 
23/06/2020,Sandwiches,North, 277.74 
16/06/2020,Cucumber,South West, 43.96 
22/06/2020,Beef,Central, 32.61 
02/06/2020,Tomatoes,East, 351.33 
23/06/2020,Green Tea,Central, 88.76 
04/06/2020,Chicken,South West, 285.49 
11/06/2020,Tomatoes,South, 335.62 
30/06/2020,Orange Juice,North, 344.79 
18/06/2020,Orange Juice,East, 178.30 
22/06/2020,Cucumber,North, 207.50 
12/06/2020,Broccoli,South, 312.17 
14/06/2020,Chicken,South West, 84.94 
23/06/2020,Sandwiches,South West, 390.73 
15/06/2020,Green Tea,East, 142.97 
01/06/2020,Pizza,North, 398.29 
13/06/2020,Green Tea,Central, 324.87 
27/06/2020,Cucumber,South, 83.24 
13/06/2020,Sandwiches,East, 228.81 
16/06/2020,Pizza,North, 184.07 
30/06/2020,Beef,North, 306.37 
25/06/2020,Beef,East, 358.35 
22/06/2020,Sandwiches,Central, 75.83 
10/06/2020,Sandwiches,South, 209.60 
26/06/2020,Cucumber,South West, 21.49 
15/06/2020,Chicken,South, 62.98 
23/06/2020,Tomatoes,Central, 178.99 
29/06/2020,Chicken,South West, 388.29 
15/06/2020,Broccoli,East, 158.33 
22/06/2020,Broccoli,North, 103.35 
12/06/2020,Cucumber,East, 107.36 
25/06/2020,Sandwiches,North, 311.30 
23/06/2020,Chicken,East, 351.51 
19/06/2020,Green Tea,South, 192.51 
28/06/2020,Beef,South, 399.02 
04/06/2020,Broccoli,North, 275.53 
15/06/2020,Beef,East, 71.45 
16/06/2020,Chicken,Central, 291.06 
14/06/2020,Pizza,South West, 140.58 
23/06/2020,Sandwiches,South West, 269.57 
29/06/2020,Green Tea,East, 25.12 
18/06/2020,Sandwiches,South West, 174.12 
01/06/2020,Beef,East, 297.07 
29/06/2020,Chicken,South West, 340.18 
28/06/2020,Beef,South, 58.80 
01/06/2020,Green Tea,Central, 354.31 
20/06/2020,Sandwiches,Central, 385.93 
21/06/2020,Tomatoes,East, 87.97 
25/06/2020,Beef,South West, 114.56 
01/06/2020,Pizza,South, 200.21 
28/06/2020,Chicken,East, 351.51 
21/06/2020,Pizza,South, 351.56 
22/06/2020,Sandwiches,Central, 367.26 
19/06/2020,Chicken,Central, 57.32 
17/06/2020,Beef,South, 107.94 
19/06/2020,Green Tea,North, 168.13 
04/06/2020,Green Tea,Central, 114.43 
01/06/2020,Green Tea,Central, 47.78 
04/06/2020,Green Tea,South, 240.16 
15/06/2020,Green Tea,South, 320.34 
01/06/2020,Orange Juice,North, 130.06 
27/06/2020,Chicken,East, 282.71 
29/06/2020,Broccoli,Central, 380.36 
28/06/2020,Beef,North, 59.38 
26/06/2020,Tomatoes,Central, 288.78 
23/06/2020,Green Tea,Central, 70.03 
16/06/2020,Orange Juice,Central, 99.67 
11/06/2020,Broccoli,South, 387.69 
20/06/2020,Chicken,North, 214.19 
25/06/2020,Sandwiches,East, 246.28 
05/06/2020,Sandwiches,South West, 323.28 
17/06/2020,Broccoli,South West, 368.80 
03/06/2020,Cucumber,South, 121.70 
10/06/2020,Tomatoes,South, 82.68 
12/06/2020,Chicken,South West, 19.40 
18/06/2020,Beef,Central, 30.37 
14/06/2020,Orange Juice,South West, 146.24 
26/06/2020,Tomatoes,South, 288.82 
10/06/2020,Cucumber,South, 224.10 
04/06/2020,Beef,South West, 269.38 
03/06/2020,Beef,East, 63.10 
01/06/2020,Orange Juice,Central, 357.74 
29/06/2020,Pizza,Central, 137.29 
30/06/2020,Sandwiches,South West, 396.10 
27/06/2020,Chicken,Central, 395.60 
16/06/2020,Pizza,North, 190.88 
09/06/2020,Broccoli,South West, 34.84 
22/06/2020,Tomatoes,East, 165.43 
