Date,Product,Region,Amount
20/04/2020,Orange Juice,Central, 277.15 
11/04/2020,Broccoli,North, 83.00 
14/04/2020,Cucumber,Central, 192.21 
20/04/2020,Orange Juice,Central, 91.69 
13/04/2020,Sandwiches,North, 191.36 
01/04/2020,Orange Juice,South, 120.10 
02/04/2020,Cucumber,South, 178.64 
02/04/2020,Broccoli,East, 23.74 
15/04/2020,Cucumber,South, 372.78 
25/04/2020,Tomatoes,North, 116.11 
10/04/2020,Pizza,North, 279.49 
18/04/2020,Tomatoes,South West, 244.66 
11/04/2020,Cucumber,South West, 109.24 
09/04/2020,Chicken,South, 106.80 
28/04/2020,Tomatoes,South West, 153.09 
27/04/2020,Broccoli,South, 176.71 
30/04/2020,Green Tea,South West, 170.79 
04/04/2020,Pizza,East, 157.79 
08/04/2020,Orange Juice,North, 372.84 
28/04/2020,Chicken,South West, 174.46 
07/04/2020,Chicken,East, 362.84 
30/04/2020,Broccoli,Central, 118.79 
27/04/2020,Beef,South, 154.90 
10/04/2020,Pizza,South West, 88.00 
08/04/2020,Pizza,South, 183.27 
28/04/2020,Sandwiches,South, 149.37 
19/04/2020,Broccoli,Central, 162.34 
20/04/2020,Green Tea,Central, 64.10 
20/04/2020,Green Tea,South West, 154.81 
08/04/2020,Beef,East, 142.89 
16/04/2020,Cucumber,East, 196.73 
04/04/2020,Broccoli,Central, 184.81 
17/04/2020,Pizza,East, 13.98 
04/04/2020,Broccoli,Central, 205.22 
30/04/2020,Broccoli,North, 174.65 
24/04/2020,Green Tea,South, 72.09 
13/04/2020,Broccoli,South, 224.66 
11/04/2020,Sandwiches,South West, 61.89 
29/04/2020,Pizza,Central, 370.54 
18/04/2020,Chicken,North, 54.03 
17/04/2020,Chicken,South West, 153.59 
30/04/2020,Pizza,South, 250.16 
05/04/2020,Green Tea,South, 66.43 
18/04/2020,Pizza,East, 310.89 
11/04/2020,Beef,South, 112.60 
02/04/2020,Orange Juice,South West, 64.12 
11/04/2020,Green Tea,Central, 83.23 
09/04/2020,Orange Juice,East, 264.20 
30/04/2020,Chicken,South West, 347.49 
25/04/2020,Orange Juice,East, 127.44 
07/04/2020,Beef,South West, 57.35 
15/04/2020,Sandwiches,Central, 164.70 
13/04/2020,Broccoli,South West, 365.70 
28/04/2020,Broccoli,North, 46.10 
20/04/2020,Sandwiches,North, 339.45 
27/04/2020,Sandwiches,North, 266.67 
06/04/2020,Green Tea,East, 240.38 
24/04/2020,Sandwiches,East, 169.98 
10/04/2020,Broccoli,North, 34.99 
22/04/2020,Orange Juice,North, 85.24 
08/04/2020,Pizza,Central, 187.92 
10/04/2020,Beef,South West, 196.74 
10/04/2020,Green Tea,South West, 248.59 
20/04/2020,Chicken,North, 48.54 
06/04/2020,Chicken,Central, 163.79 
12/04/2020,Sandwiches,North, 280.52 
11/04/2020,Tomatoes,South, 184.90 
