Date,Product,Region,Amount
22/01/2020,Tomatoes,East, 299.10 
31/01/2020,Green Tea,Central, 27.65 
13/01/2020,Chicken,South, 160.61 
31/01/2020,Sandwiches,South, 296.91 
12/01/2020,Tomatoes,South West, 374.68 
14/01/2020,Cucumber,North, 335.38 
10/01/2020,Cucumber,East, 59.56 
01/01/2020,Beef,Central, 273.73 
22/01/2020,Tomatoes,Central, 216.12 
01/01/2020,Cucumber,South, 178.24 
04/01/2020,Broccoli,East, 114.25 
01/01/2020,Green Tea,East, 258.37 
26/01/2020,Green Tea,East, 38.85 
05/01/2020,Green Tea,East, 221.86 
07/01/2020,Orange Juice,Central, 115.63 
05/01/2020,Chicken,South, 199.84 
02/01/2020,Pizza,East, 220.17 
20/01/2020,Chicken,South, 58.23 
28/01/2020,Beef,South West, 395.27 
16/01/2020,Beef,East, 271.21 
18/01/2020,Chicken,Central, 103.68 
31/01/2020,Sandwiches,South West, 397.80 
31/01/2020,Beef,South, 214.40 
18/01/2020,Pizza,East, 184.81 
14/01/2020,Pizza,East, 214.83 
15/01/2020,Beef,Central, 51.36 
08/01/2020,Sandwiches,North, 229.16 
03/01/2020,Orange Juice,South West, 278.09 
10/01/2020,Sandwiches,Central, 242.15 
21/01/2020,Beef,South, 10.47 
18/01/2020,Cucumber,East, 357.49 
22/01/2020,Green Tea,North, 143.68 
10/01/2020,Sandwiches,East, 18.01 
07/01/2020,Broccoli,Central, 297.65 
23/01/2020,Tomatoes,North, 315.44 
01/01/2020,Cucumber,Central, 314.37 
20/01/2020,Green Tea,East, 306.98 
06/01/2020,Orange Juice,South West, 378.61 
10/01/2020,Pizza,South West, 232.69 
18/01/2020,Tomatoes,East, 33.10 
16/01/2020,Broccoli,South, 314.84 
15/01/2020,Green Tea,South West, 135.40 
03/01/2020,Broccoli,East, 278.89 
04/01/2020,Sandwiches,South, 385.35 
06/01/2020,Broccoli,Central, 223.54 
29/01/2020,Broccoli,South West, 275.01 
10/01/2020,Orange Juice,North, 102.95 
29/01/2020,Pizza,South, 79.23 
12/01/2020,Cucumber,Central, 235.86 
08/01/2020,Cucumber,South, 308.84 
23/01/2020,Chicken,South West, 227.94 
13/01/2020,Green Tea,South, 325.51 
27/01/2020,Pizza,South West, 247.01 
14/01/2020,Tomatoes,Central, 366.11 
27/01/2020,Sandwiches,South West, 260.91 
01/01/2020,Broccoli,East, 32.97 
12/01/2020,Orange Juice,Central, 184.39 
27/01/2020,Pizza,South West, 79.28 
23/01/2020,Cucumber,North, 60.16 
10/01/2020,Orange Juice,South, 68.36 
14/01/2020,Pizza,East, 209.14 
11/01/2020,Cucumber,Central, 180.88 
