Date,Product,Region,Amount
09/08/2020,Tomatoes,South West, 207.47 
10/08/2020,Beef,South West, 327.38 
04/08/2020,Beef,East, 316.35 
18/08/2020,Pizza,East, 114.25 
20/08/2020,Orange Juice,South, 94.55 
05/08/2020,Chicken,Central, 361.50 
22/08/2020,Chicken,South, 360.94 
23/08/2020,Orange Juice,South, 220.38 
27/08/2020,Tomatoes,South, 316.22 
19/08/2020,Chicken,Central, 133.44 
29/08/2020,Broccoli,Central, 256.21 
17/08/2020,Cucumber,South West, 21.16 
01/08/2020,Cucumber,South West, 258.08 
28/08/2020,Broccoli,South, 304.25 
06/08/2020,Beef,East, 42.08 
01/08/2020,Pizza,North, 380.95 
16/08/2020,Orange Juice,East, 155.84 
28/08/2020,Broccoli,Central, 257.02 
07/08/2020,Beef,East, 201.27 
22/08/2020,Tomatoes,South West, 383.38 
03/08/2020,Green Tea,South West, 345.81 
16/08/2020,Pizza,South, 354.04 
06/08/2020,Pizza,North, 238.24 
09/08/2020,Beef,South West, 153.91 
11/08/2020,Chicken,East, 26.32 
29/08/2020,Tomatoes,South, 266.40 
14/08/2020,Sandwiches,South, 351.28 
30/08/2020,Chicken,Central, 133.99 
18/08/2020,Beef,North, 52.23 
06/08/2020,Chicken,South, 218.39 
14/08/2020,Tomatoes,North, 393.81 
28/08/2020,Beef,South, 393.09 
18/08/2020,Orange Juice,South West, 253.27 
10/08/2020,Chicken,North, 282.02 
13/08/2020,Pizza,South, 269.06 
28/08/2020,Tomatoes,South, 175.61 
05/08/2020,Orange Juice,North, 92.73 
19/08/2020,Orange Juice,East, 25.03 
31/08/2020,Sandwiches,Central, 132.48 
25/08/2020,Sandwiches,Central, 151.07 
07/08/2020,Orange Juice,South, 46.56 
31/08/2020,Pizza,South, 296.62 
19/08/2020,Pizza,South West, 351.64 
04/08/2020,Orange Juice,North, 391.57 
25/08/2020,Tomatoes,South, 326.24 
25/08/2020,Broccoli,North, 62.05 
22/08/2020,Beef,South West, 101.50 
28/08/2020,Pizza,South, 155.82 
23/08/2020,Sandwiches,East, 378.10 
08/08/2020,Broccoli,South, 13.15 
19/08/2020,Chicken,East, 380.32 
30/08/2020,Sandwiches,South, 141.17 
26/08/2020,Tomatoes,South, 52.07 
24/08/2020,Cucumber,Central, 364.88 
26/08/2020,Beef,South West, 118.62 
24/08/2020,Cucumber,South West, 25.70 
07/08/2020,Sandwiches,South, 145.69 
12/08/2020,Tomatoes,Central, 308.15 
31/08/2020,Orange Juice,South, 78.81 
20/08/2020,Cucumber,South West, 224.18 
23/08/2020,Broccoli,East, 206.72 
21/08/2020,Sandwiches,South, 311.81 
10/08/2020,Broccoli,South, 241.71 
13/08/2020,Chicken,Central, 116.72 
13/08/2020,Cucumber,South West, 136.65 
07/08/2020,Sandwiches,North, 232.71 
17/08/2020,Chicken,South, 324.02 
29/08/2020,Broccoli,East, 361.55 
16/08/2020,Pizza,South, 68.90 
14/08/2020,Beef,Central, 393.64 
26/08/2020,Pizza,South, 153.78 
23/08/2020,Orange Juice,South West, 330.18 
24/08/2020,Green Tea,North, 348.99 
16/08/2020,Tomatoes,Central, 253.97 
27/08/2020,Orange Juice,Central, 305.17 
08/08/2020,Pizza,East, 187.97 
23/08/2020,Tomatoes,Central, 226.05 
30/08/2020,Cucumber,Central, 253.48 
22/08/2020,Chicken,North, 105.60 
21/08/2020,Tomatoes,Central, 295.95 
22/08/2020,Broccoli,North, 68.60 
29/08/2020,Chicken,East, 257.16 
22/08/2020,Beef,South West, 123.88 
25/08/2020,Chicken,South, 10.14 
01/08/2020,Cucumber,South, 285.59 
03/08/2020,Orange Juice,East, 216.65 
15/08/2020,Tomatoes,South, 86.98 
30/08/2020,Cucumber,Central, 147.74 
14/08/2020,Green Tea,Central, 99.97 
24/08/2020,Green Tea,South West, 151.92 
13/08/2020,Tomatoes,Central, 283.14 
09/08/2020,Green Tea,South, 136.68 
13/08/2020,Beef,North, 265.33 
03/08/2020,Tomatoes,Central, 59.17 
12/08/2020,Pizza,Central, 152.73 
29/08/2020,Orange Juice,South, 377.40 
07/08/2020,Beef,East, 182.91 
11/08/2020,Orange Juice,North, 114.67 
30/08/2020,Chicken,North, 59.12 
26/08/2020,Beef,South, 147.57 
07/08/2020,Cucumber,North, 29.61 
16/08/2020,Cucumber,South, 151.37 
14/08/2020,Beef,East, 209.03 
21/08/2020,Broccoli,South, 97.58 
24/08/2020,Orange Juice,North, 88.43 
27/08/2020,Pizza,Central, 43.52 
28/08/2020,Green Tea,Central, 57.92 
09/08/2020,Beef,East, 246.34 
08/08/2020,Broccoli,South, 194.06 
14/08/2020,Pizza,Central, 129.05 
10/08/2020,Cucumber,South, 294.35 
02/08/2020,Beef,South, 121.90 
08/08/2020,Sandwiches,Central, 149.31 
09/08/2020,Orange Juice,South West, 361.54 
30/08/2020,Sandwiches,North, 297.82 
28/08/2020,Cucumber,East, 255.72 
17/08/2020,Chicken,East, 163.95 
10/08/2020,Cucumber,East, 244.64 
18/08/2020,Chicken,North, 255.70 
24/08/2020,Cucumber,Central, 374.74 
04/08/2020,Sandwiches,South, 63.40 
15/08/2020,Chicken,North, 167.83 
04/08/2020,Green Tea,South West, 399.93 
15/08/2020,Green Tea,South West, 391.21 
05/08/2020,Tomatoes,South West, 15.23 
07/08/2020,Chicken,North, 131.91 
14/08/2020,Broccoli,East, 374.38 
27/08/2020,Orange Juice,South West, 42.48 
23/08/2020,Chicken,North, 83.56 
23/08/2020,Pizza,South West, 256.72 
13/08/2020,Chicken,North, 248.87 
07/08/2020,Pizza,Central, 21.11 
25/08/2020,Orange Juice,East, 213.06 
19/08/2020,Pizza,North, 246.04 
17/08/2020,Tomatoes,South West, 395.22 
29/08/2020,Broccoli,East, 342.75 
26/08/2020,Beef,Central, 361.81 
09/08/2020,Broccoli,East, 67.67 
12/08/2020,Broccoli,North, 339.96 
24/08/2020,Broccoli,North, 61.18 
16/08/2020,Green Tea,South West, 337.19 
12/08/2020,Sandwiches,East, 37.02 
14/08/2020,Tomatoes,Central, 72.40 
07/08/2020,Orange Juice,Central, 221.26 
07/08/2020,Pizza,North, 22.37 
06/08/2020,Sandwiches,North, 253.24 
24/08/2020,Orange Juice,Central, 190.75 
05/08/2020,Pizza,South West, 171.99 
22/08/2020,Orange Juice,Central, 90.28 
16/08/2020,Pizza,East, 340.11 
21/08/2020,Sandwiches,South West, 232.62 
17/08/2020,Orange Juice,South, 256.89 
20/08/2020,Broccoli,Central, 185.29 
31/08/2020,Green Tea,North, 49.50 
15/08/2020,Broccoli,Central, 86.90 
13/08/2020,Sandwiches,Central, 35.76 
03/08/2020,Green Tea,Central, 254.92 
09/08/2020,Tomatoes,South, 153.39 
27/08/2020,Beef,Central, 277.23 
06/08/2020,Green Tea,North, 42.06 
04/08/2020,Broccoli,South West, 46.54 
09/08/2020,Pizza,East, 289.09 
15/08/2020,Chicken,Central, 49.29 
02/08/2020,Green Tea,South West, 275.40 
23/08/2020,Green Tea,South West, 349.41 
22/08/2020,Orange Juice,Central, 245.23 
20/08/2020,Broccoli,East, 118.67 
09/08/2020,Beef,South West, 279.96 
09/08/2020,Sandwiches,Central, 271.12 
20/08/2020,Green Tea,North, 142.73 
08/08/2020,Sandwiches,East, 219.99 
10/08/2020,Orange Juice,East, 114.12 
23/08/2020,Tomatoes,South, 355.41 
17/08/2020,Sandwiches,East, 384.80 
29/08/2020,Beef,South West, 379.94 
03/08/2020,Sandwiches,South, 169.10 
21/08/2020,Cucumber,East, 219.16 
06/08/2020,Pizza,South, 342.20 
04/08/2020,Orange Juice,East, 87.90 
16/08/2020,Cucumber,South West, 230.96 
11/08/2020,Tomatoes,Central, 180.14 
24/08/2020,Pizza,North, 135.56 
10/08/2020,Tomatoes,South, 361.81 
14/08/2020,Tomatoes,South West, 178.33 
16/08/2020,Broccoli,South, 98.57 
02/08/2020,Orange Juice,Central, 65.86 
21/08/2020,Sandwiches,South, 378.46 
06/08/2020,Tomatoes,East, 280.28 
16/08/2020,Beef,South West, 335.67 
08/08/2020,Beef,Central, 340.60 
17/08/2020,Cucumber,North, 26.42 
24/08/2020,Cucumber,Central, 250.88 
05/08/2020,Pizza,South, 102.26 
22/08/2020,Orange Juice,East, 197.32 
27/08/2020,Tomatoes,South, 159.72 
02/08/2020,Broccoli,South, 20.39 
02/08/2020,Green Tea,South West, 264.74 
12/08/2020,Chicken,Central, 226.99 
02/08/2020,Sandwiches,Central, 224.28 
30/08/2020,Cucumber,South, 253.81 
17/08/2020,Broccoli,South, 240.47 
18/08/2020,Beef,North, 128.56 
16/08/2020,Tomatoes,Central, 399.63 
26/08/2020,Beef,North, 201.97 
30/08/2020,Green Tea,East, 273.67 
10/08/2020,Broccoli,East,154.27
14/08/2020,Tomatoes,South,97.34
29/08/2020,Green Tea,South,343.9
21/08/2020,Broccoli,Central,255.54
08/08/2020,Pizza,Central,275.68
26/08/2020,Sandwiches,Central,140.09
18/08/2020,Sandwiches,North,176.5
02/08/2020,Chicken,East,11.88
14/08/2020,Beef,South,243.22
16/08/2020,Cucumber,Central,146.04
28/08/2020,Sandwiches,Central,82.69
31/08/2020,Cucumber,North,19.9
27/08/2020,Tomatoes,North,235.34
29/08/2020,Green Tea,Central,65.63
02/08/2020,Orange Juice,Central,131.08
16/08/2020,Beef,South West,139.02
09/08/2020,Green Tea,North,328.83
24/08/2020,Orange Juice,Central,180.59
11/08/2020,Pizza,Central,199.89
08/08/2020,Sandwiches,South West,335.51
10/08/2020,Sandwiches,South,196.36
08/08/2020,Broccoli,South West,345.55
24/08/2020,Sandwiches,South West,374.71
06/08/2020,Orange Juice,South,48.96
22/08/2020,Tomatoes,East,109.8
13/08/2020,Sandwiches,South,177.64
16/08/2020,Orange Juice,Central,31.15
28/08/2020,Sandwiches,South West,218.72
22/08/2020,Orange Juice,Central,112.1
24/08/2020,Beef,South West,239.86
14/08/2020,Pizza,South West,188.48
03/08/2020,Sandwiches,North,215.72
27/08/2020,Chicken,East,154.67
18/08/2020,Tomatoes,Central,174.43
13/08/2020,Beef,South West,235.42
31/08/2020,Orange Juice,Central,78.78
19/08/2020,Pizza,South,291.01
01/08/2020,Tomatoes,South West,152.14
12/08/2020,Cucumber,South,280.94
15/08/2020,Orange Juice,South West,197.78
11/08/2020,Green Tea,South,391.41
30/08/2020,Orange Juice,East,169.76
15/08/2020,Cucumber,North,253.21
17/08/2020,Cucumber,East,109.99
29/08/2020,Orange Juice,Central,308.14
12/08/2020,Orange Juice,South,321.03
05/08/2020,Cucumber,North,366.84
12/08/2020,Broccoli,East,12.63
20/08/2020,Chicken,East,291.05
08/08/2020,Beef,North,124.32
18/08/2020,Orange Juice,East,78.27
19/08/2020,Green Tea,East,363.53
02/08/2020,Green Tea,Central,49.47
24/08/2020,Tomatoes,East,271.48
20/08/2020,Chicken,South,62.62
01/08/2020,Beef,North,152.38
02/08/2020,Tomatoes,South West,268.08
25/08/2020,Chicken,East,180.31
15/08/2020,Chicken,East,230.94
12/08/2020,Orange Juice,Central,89.53
24/08/2020,Green Tea,Central,156.83
15/08/2020,Sandwiches,South,169.03
27/08/2020,Orange Juice,East,288.1
25/08/2020,Sandwiches,Central,114.19
14/08/2020,Sandwiches,East,259.4
08/08/2020,Sandwiches,North,370.5
01/08/2020,Broccoli,South,170.82
15/08/2020,Beef,Central,381.91
21/08/2020,Beef,East,221.91
16/08/2020,Orange Juice,South,251.61
08/08/2020,Broccoli,Central,247.09
12/08/2020,Green Tea,Central,360.97
06/08/2020,Broccoli,South,141.09
31/08/2020,Tomatoes,Central,208.56
27/08/2020,Beef,South,30.57
11/08/2020,Chicken,North,252.45
27/08/2020,Pizza,Central,219.3
03/08/2020,Sandwiches,South,367.36
03/08/2020,Pizza,East,397.84
28/08/2020,Green Tea,North,374.79
27/08/2020,Chicken,North,66.13
26/08/2020,Pizza,North,76.23
16/08/2020,Chicken,North,41.03
27/08/2020,Tomatoes,South West,170.22
27/08/2020,Cucumber,South West,121.59
13/08/2020,Chicken,East,50.72
03/08/2020,Green Tea,North,338.75
02/08/2020,Beef,Central,373.22
22/08/2020,Orange Juice,Central,201.42
14/08/2020,Tomatoes,East,198.56
06/08/2020,Beef,Central,219.02
07/08/2020,Sandwiches,North,214.76
17/08/2020,Sandwiches,South,291.3
26/08/2020,Orange Juice,South,74.75
04/08/2020,Tomatoes,South,192.62
04/08/2020,Tomatoes,North,291.03
31/08/2020,Beef,Central,36.28
15/08/2020,Chicken,East,228.59
16/08/2020,Broccoli,South,294.49
24/08/2020,Cucumber,South West,357.64
16/08/2020,Chicken,Central,194.24
12/08/2020,Green Tea,South,118.13
14/08/2020,Orange Juice,Central,32.04
31/08/2020,Chicken,North,46.4
04/08/2020,Tomatoes,South,316.28
25/08/2020,Pizza,South West,287.88
19/08/2020,Pizza,North,288.01
27/08/2020,Cucumber,South West,130.47
16/08/2020,Cucumber,South,225.93
11/08/2020,Chicken,South West,307.58
01/08/2020,Tomatoes,South,214.92
26/08/2020,Broccoli,East,235.4
04/08/2020,Tomatoes,East,392.33
16/08/2020,Broccoli,North,198.01
21/08/2020,Tomatoes,North,40.1
03/08/2020,Pizza,Central,115.57
31/08/2020,Tomatoes,North,340.79
06/08/2020,Cucumber,Central,165.01
26/08/2020,Pizza,East,31.65
29/08/2020,Broccoli,North,57.64
08/08/2020,Chicken,South West,77.9
12/08/2020,Sandwiches,East,271.55
22/08/2020,Broccoli,East,45.14
25/08/2020,Green Tea,North,258.06
16/08/2020,Beef,South West,336.02
05/08/2020,Chicken,South,51.76
23/08/2020,Beef,South West,114.96
02/08/2020,Sandwiches,South West,54.3
02/08/2020,Green Tea,South West,277.59
14/08/2020,Cucumber,South,134.11
06/08/2020,Broccoli,Central,16.48
23/08/2020,Chicken,South West,145.04
10/08/2020,Green Tea,South,66.58
02/08/2020,Sandwiches,South West,121.37
12/08/2020,Green Tea,Central,295.69
19/08/2020,Green Tea,Central,89.91
25/08/2020,Pizza,Central,183.41
19/08/2020,Chicken,East,212.11
29/08/2020,Green Tea,South,16.82
11/08/2020,Tomatoes,South,108.52
28/08/2020,Cucumber,East,90.48
24/08/2020,Pizza,East,387.7
28/08/2020,Chicken,North,259.44
20/08/2020,Orange Juice,North,389.25
13/08/2020,Cucumber,Central,150.26
19/08/2020,Pizza,East,38.94
03/08/2020,Tomatoes,South West,157.32
09/08/2020,Cucumber,North,27.98
09/08/2020,Orange Juice,East,191.48
29/08/2020,Green Tea,South,58.9
12/08/2020,Tomatoes,South West,140.6
28/08/2020,Tomatoes,South West,396.18
12/08/2020,Tomatoes,North,274.51
22/08/2020,Orange Juice,South West,161.87
30/08/2020,Orange Juice,East,12.46
15/08/2020,Orange Juice,Central,254.9
09/08/2020,Beef,Central,162.13
08/08/2020,Sandwiches,North,99.12
18/08/2020,Sandwiches,South West,289.13
03/08/2020,Chicken,East,228.19
16/08/2020,Orange Juice,North,54.36
24/08/2020,Chicken,Central,308.57
27/08/2020,Sandwiches,North,271.14
15/08/2020,Pizza,Central,300.4
05/08/2020,Cucumber,South,160.89
23/08/2020,Chicken,South West,154.37
25/08/2020,Chicken,North,41.11
17/08/2020,Orange Juice,Central,301.11
28/08/2020,Beef,Central,301.58
27/08/2020,Pizza,North,124.82
27/08/2020,Orange Juice,South West,21.25
25/08/2020,Beef,East,366.88
01/08/2020,Broccoli,East,247.31
07/08/2020,Orange Juice,Central,93.4
14/08/2020,Green Tea,South West,384.26
12/08/2020,Pizza,Central,274
05/08/2020,Chicken,Central,90.81
30/08/2020,Orange Juice,North,127.62
15/08/2020,Chicken,South,145.33
15/08/2020,Orange Juice,South West,35.16
22/08/2020,Green Tea,Central,327.71
19/08/2020,Green Tea,Central,169.02
18/08/2020,Beef,East,314.08
18/08/2020,Green Tea,North,168.25
26/08/2020,Beef,East,214.71
20/08/2020,Beef,Central,155.21
19/08/2020,Green Tea,Central,112
19/08/2020,Tomatoes,North,34.2
15/08/2020,Tomatoes,South West,199.63
08/08/2020,Cucumber,South,185.07
31/08/2020,Cucumber,South West,377.41
29/08/2020,Tomatoes,North,31.69
28/08/2020,Green Tea,South West,175.75
01/08/2020,Sandwiches,Central,350.83
